subject_id,variant,outcome,device_type,user_tenure_days,cart_value,is_returning_user,pre_experiment_outcome,date
ecom_005589,1,0.0,0.0,35.0,85.71,0.0,0.0,2024-01-13
ecom_000251,0,0.0,0.0,27.0,9.79,0.0,0.0,2024-01-05
ecom_003973,1,0.0,2.0,1.0,13.68,0.0,0.0,2024-01-05
ecom_006630,1,0.0,0.0,65.0,28.8,1.0,0.0,2024-01-16
ecom_005547,0,0.0,2.0,4.0,0.0,0.0,1.0,2024-01-19
ecom_000035,0,0.0,2.0,61.0,12.98,1.0,0.0,2024-01-01
ecom_008362,0,0.0,0.0,24.0,51.72,0.0,0.0,2024-01-10
ecom_001513,0,1.0,1.0,3.0,0.0,0.0,0.0,2024-01-02
ecom_009317,1,0.0,0.0,22.0,24.13,0.0,0.0,2024-01-03
ecom_000039,1,0.0,0.0,106.0,25.82,0.0,0.0,2024-01-20
ecom_004819,1,0.0,0.0,38.0,0.0,1.0,0.0,2024-01-11
ecom_003465,1,0.0,0.0,22.0,0.0,0.0,0.0,2024-01-12
ecom_001760,1,0.0,0.0,130.0,38.0,1.0,0.0,2024-01-20
ecom_002304,1,0.0,0.0,70.0,0.0,1.0,0.0,2024-01-16
ecom_003723,0,0.0,0.0,140.0,73.58,1.0,0.0,2024-01-02
ecom_008284,0,0.0,1.0,76.0,19.94,1.0,0.0,2024-01-23
ecom_004993,0,0.0,1.0,93.0,76.21,1.0,1.0,2024-01-19
ecom_008127,1,0.0,0.0,43.0,24.0,1.0,0.0,2024-01-04
ecom_003032,1,0.0,0.0,47.0,108.2,1.0,0.0,2024-01-06
ecom_007938,1,0.0,1.0,211.0,0.0,1.0,0.0,2024-01-21
ecom_003039,0,0.0,2.0,75.0,21.41,1.0,0.0,2024-01-02
ecom_009655,1,0.0,2.0,86.0,14.83,1.0,0.0,2024-01-30
ecom_002545,0,0.0,2.0,118.0,34.82,1.0,0.0,2024-01-09
ecom_002592,0,0.0,2.0,60.0,0.0,1.0,0.0,2024-01-05
ecom_001188,1,0.0,2.0,60.0,33.28,1.0,0.0,2024-01-02
ecom_007966,0,1.0,0.0,52.0,58.51,1.0,0.0,2024-01-25
ecom_006077,1,0.0,2.0,45.0,32.05,1.0,0.0,2024-01-16
ecom_000107,1,0.0,2.0,104.0,0.0,1.0,0.0,2024-01-11
ecom_001315,0,0.0,2.0,310.0,56.07,1.0,0.0,2024-01-01
ecom_008187,0,0.0,0.0,9.0,26.6,0.0,0.0,2024-01-20
ecom_002753,0,1.0,0.0,16.0,43.65,0.0,0.0,2024-01-22
ecom_009753,0,0.0,2.0,1.0,0.0,0.0,0.0,2024-01-11
ecom_006231,0,0.0,1.0,20.0,0.0,0.0,0.0,2024-01-13
ecom_002876,0,0.0,0.0,15.0,10.15,0.0,0.0,2024-01-10
ecom_005323,0,0.0,0.0,135.0,67.45,1.0,0.0,2024-01-02
ecom_000799,0,0.0,0.0,96.0,181.5,1.0,0.0,2024-01-10
ecom_003570,1,0.0,2.0,146.0,12.6,1.0,0.0,2024-01-23
ecom_002894,1,0.0,1.0,62.0,0.0,1.0,0.0,2024-01-15
ecom_002927,1,0.0,1.0,150.0,115.31,1.0,0.0,2024-01-19
ecom_008178,1,0.0,0.0,22.0,0.0,0.0,0.0,2024-01-05
ecom_000971,1,0.0,2.0,94.0,100.53,1.0,0.0,2024-01-30
ecom_006687,1,0.0,2.0,32.0,147.39,1.0,0.0,2024-01-07
ecom_008575,0,0.0,2.0,28.0,27.66,0.0,0.0,2024-01-16
ecom_002020,0,0.0,2.0,176.0,7.02,1.0,1.0,2024-01-21
ecom_009054,0,0.0,2.0,15.0,38.1,0.0,0.0,2024-01-11
ecom_000952,1,1.0,0.0,24.0,11.11,0.0,0.0,2024-01-30
ecom_005359,0,0.0,1.0,91.0,43.87,1.0,0.0,2024-01-08
ecom_003857,1,0.0,1.0,25.0,28.11,0.0,0.0,2024-01-02
ecom_005861,1,0.0,2.0,24.0,170.21,1.0,0.0,2024-01-22
ecom_003145,0,1.0,1.0,27.0,12.86,0.0,0.0,2024-01-03
ecom_003305,0,0.0,1.0,11.0,35.59,0.0,0.0,2024-01-23
ecom_003006,1,0.0,2.0,101.0,72.34,1.0,1.0,2024-01-30
ecom_009001,0,0.0,2.0,29.0,8.15,0.0,0.0,2024-01-04
ecom_007770,1,0.0,1.0,14.0,25.34,0.0,0.0,2024-01-25
ecom_007438,1,0.0,0.0,85.0,8.15,1.0,0.0,2024-01-16
ecom_007942,1,0.0,2.0,1.0,40.51,0.0,0.0,2024-01-25
ecom_009238,0,0.0,2.0,31.0,49.32,1.0,0.0,2024-01-07
ecom_001056,1,0.0,2.0,71.0,39.37,1.0,0.0,2024-01-26
ecom_003154,1,0.0,2.0,18.0,50.47,1.0,0.0,2024-01-10
ecom_003787,1,0.0,1.0,77.0,23.96,1.0,0.0,2024-01-22
ecom_009189,0,0.0,1.0,36.0,0.0,1.0,0.0,2024-01-25
ecom_007825,0,0.0,0.0,47.0,0.0,1.0,0.0,2024-01-10
ecom_007539,0,0.0,2.0,145.0,13.15,1.0,0.0,2024-01-17
ecom_007231,1,0.0,2.0,18.0,6.89,0.0,0.0,2024-01-25
ecom_000764,0,0.0,2.0,222.0,82.76,1.0,0.0,2024-01-17
ecom_005019,1,0.0,0.0,13.0,21.86,0.0,0.0,2024-01-01
ecom_004903,0,0.0,2.0,5.0,0.0,0.0,0.0,2024-01-03
ecom_008093,0,0.0,0.0,26.0,13.82,1.0,0.0,2024-01-20
ecom_006843,0,0.0,2.0,100.0,11.18,1.0,0.0,2024-01-29
ecom_002165,0,0.0,2.0,48.0,0.0,1.0,0.0,2024-01-12
ecom_001862,1,0.0,1.0,48.0,77.75,1.0,1.0,2024-01-30
ecom_007850,0,0.0,0.0,85.0,19.85,0.0,0.0,2024-01-28
ecom_009123,0,0.0,2.0,9.0,68.53,0.0,0.0,2024-01-26
ecom_002340,1,0.0,0.0,73.0,28.43,1.0,0.0,2024-01-24
ecom_005527,1,0.0,2.0,16.0,46.2,0.0,0.0,2024-01-26
ecom_006743,1,0.0,0.0,13.0,25.13,0.0,0.0,2024-01-28
ecom_004003,0,0.0,0.0,118.0,0.0,1.0,0.0,2024-01-25
ecom_001123,0,0.0,0.0,49.0,0.0,1.0,1.0,2024-01-15
ecom_008709,1,0.0,0.0,26.0,98.46,0.0,0.0,2024-01-14
ecom_004049,1,0.0,2.0,72.0,0.0,1.0,0.0,2024-01-20
ecom_007640,0,1.0,1.0,6.0,173.59,0.0,0.0,2024-01-09
ecom_000765,0,0.0,1.0,26.0,15.94,0.0,0.0,2024-01-26
ecom_002344,1,0.0,2.0,55.0,14.76,1.0,0.0,2024-01-09
ecom_004071,0,0.0,0.0,24.0,15.16,0.0,0.0,2024-01-09
ecom_007216,1,0.0,2.0,33.0,136.27,0.0,0.0,2024-01-22
ecom_004216,1,0.0,0.0,52.0,16.28,0.0,1.0,2024-01-06
ecom_007952,0,0.0,2.0,12.0,34.37,0.0,0.0,2024-01-23
ecom_005970,0,0.0,0.0,6.0,0.0,0.0,0.0,2024-01-23
ecom_003350,0,0.0,2.0,99.0,75.7,1.0,0.0,2024-01-21
ecom_004695,0,0.0,2.0,272.0,0.0,1.0,0.0,2024-01-17
ecom_003399,0,0.0,2.0,129.0,0.0,1.0,0.0,2024-01-29
ecom_004081,0,0.0,2.0,81.0,13.64,1.0,0.0,2024-01-08
ecom_009149,1,0.0,0.0,1.0,44.7,0.0,0.0,2024-01-24
ecom_001224,0,0.0,1.0,90.0,0.0,1.0,0.0,2024-01-24
ecom_006292,0,0.0,1.0,10.0,0.0,0.0,0.0,2024-01-10
ecom_003122,1,0.0,1.0,67.0,61.54,1.0,0.0,2024-01-18
ecom_000510,0,0.0,1.0,129.0,0.0,1.0,0.0,2024-01-25
ecom_005794,1,0.0,0.0,231.0,0.0,1.0,0.0,2024-01-24
ecom_008181,0,0.0,2.0,101.0,17.49,1.0,0.0,2024-01-08
ecom_009417,1,0.0,0.0,130.0,136.11,0.0,0.0,2024-01-16
ecom_000096,0,0.0,1.0,4.0,0.0,0.0,0.0,2024-01-08
ecom_006681,1,0.0,1.0,12.0,6.87,0.0,0.0,2024-01-23
ecom_001512,0,0.0,2.0,99.0,6.3,1.0,0.0,2024-01-30
ecom_008791,0,0.0,1.0,120.0,0.0,1.0,0.0,2024-01-09
ecom_000119,1,1.0,1.0,11.0,0.0,0.0,0.0,2024-01-13
ecom_007791,1,0.0,1.0,102.0,68.98,1.0,0.0,2024-01-25
ecom_006517,1,0.0,0.0,20.0,0.0,0.0,0.0,2024-01-09
ecom_000033,0,0.0,2.0,37.0,39.64,1.0,0.0,2024-01-10
ecom_007887,1,0.0,1.0,23.0,0.0,0.0,0.0,2024-01-25
ecom_006830,1,0.0,1.0,1.0,24.88,0.0,0.0,2024-01-08
ecom_005421,1,0.0,2.0,19.0,39.18,0.0,0.0,2024-01-16
ecom_001068,0,0.0,0.0,23.0,15.83,0.0,1.0,2024-01-26
ecom_001347,0,0.0,0.0,65.0,11.12,1.0,0.0,2024-01-29
ecom_004747,0,0.0,0.0,82.0,0.0,1.0,0.0,2024-01-10
ecom_006005,1,0.0,2.0,12.0,0.0,0.0,0.0,2024-01-26
ecom_006039,1,0.0,2.0,21.0,59.01,1.0,0.0,2024-01-23
ecom_003817,1,1.0,1.0,126.0,12.57,1.0,0.0,2024-01-26
ecom_008446,1,0.0,1.0,8.0,91.29,1.0,0.0,2024-01-10
ecom_005269,0,0.0,2.0,18.0,0.0,0.0,0.0,2024-01-19
ecom_006897,1,0.0,2.0,46.0,16.2,1.0,0.0,2024-01-07
ecom_005309,0,0.0,2.0,158.0,0.0,1.0,0.0,2024-01-07
ecom_000031,1,0.0,2.0,1.0,23.89,0.0,0.0,2024-01-01
ecom_005674,1,0.0,2.0,62.0,0.0,0.0,0.0,2024-01-24
ecom_004386,1,0.0,0.0,19.0,33.82,0.0,0.0,2024-01-14
ecom_000029,0,0.0,0.0,66.0,20.0,1.0,0.0,2024-01-23
ecom_004202,1,0.0,0.0,80.0,0.0,1.0,0.0,2024-01-19
ecom_007507,1,0.0,0.0,35.0,10.45,1.0,1.0,2024-01-18
ecom_000735,0,0.0,1.0,62.0,70.15,1.0,0.0,2024-01-16
ecom_002067,1,0.0,2.0,8.0,48.8,0.0,0.0,2024-01-02
ecom_000106,0,0.0,2.0,26.0,10.7,1.0,0.0,2024-01-11
ecom_009644,0,0.0,0.0,35.0,72.72,1.0,0.0,2024-01-24
ecom_008894,1,0.0,2.0,93.0,83.77,1.0,0.0,2024-01-15
ecom_008020,0,0.0,0.0,18.0,135.37,0.0,0.0,2024-01-26
ecom_002232,1,0.0,0.0,109.0,83.04,1.0,0.0,2024-01-06
ecom_000993,1,0.0,2.0,14.0,0.0,0.0,0.0,2024-01-25
ecom_009412,0,0.0,0.0,117.0,0.0,1.0,0.0,2024-01-24
ecom_007058,0,0.0,1.0,43.0,144.68,1.0,1.0,2024-01-09
ecom_006789,1,0.0,2.0,36.0,75.68,1.0,0.0,2024-01-30
ecom_000360,0,0.0,2.0,43.0,27.26,1.0,0.0,2024-01-17
ecom_000304,1,0.0,0.0,38.0,0.0,1.0,0.0,2024-01-12
ecom_002627,1,0.0,0.0,182.0,38.51,1.0,0.0,2024-01-14
ecom_008965,0,0.0,1.0,2.0,16.07,0.0,0.0,2024-01-24
ecom_004513,0,0.0,0.0,7.0,38.4,0.0,0.0,2024-01-11
ecom_005910,0,0.0,0.0,36.0,15.48,1.0,0.0,2024-01-06
ecom_008313,0,0.0,0.0,11.0,30.34,1.0,0.0,2024-01-27
ecom_003100,0,0.0,1.0,179.0,73.81,1.0,0.0,2024-01-14
ecom_005703,0,0.0,2.0,11.0,34.42,1.0,0.0,2024-01-08
ecom_003898,1,0.0,1.0,161.0,53.08,1.0,0.0,2024-01-10
ecom_005440,1,0.0,2.0,51.0,70.97,1.0,0.0,2024-01-26
ecom_007930,0,0.0,0.0,45.0,59.17,1.0,0.0,2024-01-15
ecom_000621,1,0.0,2.0,16.0,58.05,0.0,0.0,2024-01-23
ecom_007235,0,0.0,0.0,41.0,9.1,1.0,0.0,2024-01-17
ecom_002498,0,0.0,1.0,52.0,34.06,1.0,1.0,2024-01-05
ecom_000713,0,0.0,2.0,68.0,35.82,1.0,0.0,2024-01-08
ecom_008403,0,0.0,2.0,22.0,29.56,0.0,0.0,2024-01-05
ecom_002855,1,0.0,0.0,44.0,51.75,1.0,0.0,2024-01-24
ecom_004269,0,0.0,0.0,65.0,198.32,1.0,0.0,2024-01-24
ecom_002908,1,0.0,2.0,34.0,21.56,1.0,0.0,2024-01-06
ecom_008080,1,0.0,0.0,140.0,55.92,1.0,0.0,2024-01-16
ecom_004516,0,0.0,2.0,85.0,27.44,1.0,0.0,2024-01-26
ecom_001261,1,0.0,2.0,168.0,39.22,1.0,0.0,2024-01-07
ecom_003160,1,0.0,0.0,34.0,74.07,1.0,0.0,2024-01-02
ecom_000970,0,0.0,0.0,23.0,66.93,0.0,0.0,2024-01-13
ecom_003912,0,1.0,0.0,66.0,52.91,0.0,0.0,2024-01-16
ecom_005198,0,0.0,2.0,41.0,0.0,1.0,0.0,2024-01-05
ecom_008846,1,0.0,2.0,109.0,15.91,1.0,0.0,2024-01-13
ecom_000259,1,0.0,1.0,3.0,16.84,0.0,0.0,2024-01-26
ecom_003790,1,0.0,1.0,12.0,28.16,1.0,0.0,2024-01-01
ecom_009202,1,0.0,1.0,160.0,0.0,1.0,0.0,2024-01-22
ecom_000487,0,0.0,1.0,43.0,10.66,1.0,0.0,2024-01-04
ecom_007907,1,0.0,2.0,125.0,32.07,1.0,0.0,2024-01-29
ecom_000518,1,0.0,1.0,134.0,13.62,1.0,0.0,2024-01-18
ecom_008342,1,0.0,1.0,201.0,48.9,1.0,0.0,2024-01-24
ecom_000311,1,0.0,2.0,77.0,49.01,1.0,0.0,2024-01-25
ecom_003231,0,0.0,2.0,12.0,16.7,0.0,0.0,2024-01-12
ecom_007932,1,1.0,0.0,16.0,17.52,0.0,0.0,2024-01-20
ecom_007457,1,1.0,1.0,11.0,0.0,0.0,0.0,2024-01-10
ecom_009783,0,0.0,0.0,4.0,73.15,0.0,0.0,2024-01-29
ecom_005183,1,0.0,1.0,181.0,45.77,1.0,0.0,2024-01-23
ecom_008076,0,0.0,2.0,24.0,26.32,0.0,0.0,2024-01-03
ecom_006501,0,0.0,0.0,16.0,12.92,0.0,0.0,2024-01-02
ecom_006790,1,0.0,2.0,32.0,27.27,1.0,0.0,2024-01-03
ecom_007772,1,0.0,1.0,42.0,107.84,1.0,0.0,2024-01-06
ecom_002737,1,0.0,0.0,135.0,27.36,1.0,0.0,2024-01-11
ecom_007841,1,0.0,1.0,10.0,13.59,1.0,0.0,2024-01-22
ecom_006261,1,0.0,0.0,185.0,38.09,0.0,0.0,2024-01-20
ecom_008205,1,0.0,0.0,8.0,18.35,0.0,0.0,2024-01-25
ecom_001247,1,0.0,0.0,10.0,37.98,0.0,0.0,2024-01-23
ecom_009335,0,0.0,0.0,189.0,17.75,1.0,0.0,2024-01-13
ecom_004194,1,0.0,1.0,1.0,0.0,0.0,0.0,2024-01-11
ecom_008000,0,0.0,1.0,101.0,22.67,0.0,0.0,2024-01-02
ecom_007377,0,0.0,0.0,65.0,39.73,1.0,0.0,2024-01-26
ecom_003434,1,0.0,2.0,39.0,30.38,1.0,1.0,2024-01-15
ecom_005381,0,0.0,1.0,1.0,99.04,0.0,0.0,2024-01-18
ecom_000958,0,0.0,0.0,80.0,3.79,1.0,0.0,2024-01-24
ecom_000416,0,0.0,2.0,10.0,0.0,0.0,0.0,2024-01-29
ecom_005741,0,0.0,0.0,130.0,0.0,1.0,0.0,2024-01-30
ecom_006727,0,0.0,2.0,2.0,9.84,0.0,0.0,2024-01-02
ecom_004381,0,0.0,0.0,66.0,0.0,1.0,0.0,2024-01-10
ecom_005196,0,0.0,2.0,22.0,47.65,0.0,0.0,2024-01-24
ecom_001112,0,0.0,1.0,43.0,0.0,1.0,0.0,2024-01-25
ecom_002688,1,0.0,2.0,48.0,66.15,1.0,0.0,2024-01-25
ecom_006472,1,0.0,1.0,82.0,0.0,1.0,0.0,2024-01-24
ecom_008819,0,0.0,2.0,92.0,21.38,1.0,0.0,2024-01-01
ecom_007807,1,0.0,2.0,40.0,64.84,1.0,0.0,2024-01-23
ecom_003410,0,0.0,1.0,46.0,10.0,0.0,0.0,2024-01-02
ecom_000080,1,0.0,0.0,59.0,25.0,1.0,0.0,2024-01-17
ecom_004613,0,0.0,2.0,44.0,25.01,1.0,0.0,2024-01-05
ecom_001373,1,0.0,2.0,39.0,43.6,1.0,0.0,2024-01-26
ecom_001509,1,1.0,0.0,42.0,0.0,0.0,0.0,2024-01-10
ecom_006442,0,0.0,2.0,36.0,49.05,1.0,0.0,2024-01-25
ecom_003070,1,0.0,0.0,1.0,107.91,0.0,0.0,2024-01-14
ecom_003015,0,0.0,0.0,37.0,13.84,1.0,0.0,2024-01-02
ecom_004822,1,0.0,2.0,69.0,64.69,1.0,0.0,2024-01-30
ecom_007821,0,0.0,0.0,3.0,71.94,0.0,0.0,2024-01-03
ecom_000092,1,0.0,2.0,6.0,72.11,0.0,0.0,2024-01-16
ecom_009420,1,0.0,2.0,18.0,15.57,0.0,0.0,2024-01-21
ecom_006599,0,0.0,2.0,56.0,0.0,1.0,0.0,2024-01-20
ecom_004442,1,0.0,2.0,34.0,84.71,1.0,0.0,2024-01-23
ecom_007601,0,0.0,0.0,42.0,0.0,1.0,0.0,2024-01-05
ecom_003834,1,0.0,2.0,218.0,0.0,1.0,0.0,2024-01-12
ecom_009701,0,0.0,2.0,116.0,136.33,1.0,0.0,2024-01-19
ecom_004321,1,0.0,2.0,94.0,13.87,1.0,0.0,2024-01-07
ecom_003393,0,0.0,0.0,33.0,9.5,1.0,0.0,2024-01-20
ecom_004751,1,0.0,0.0,25.0,53.52,0.0,0.0,2024-01-20
ecom_007228,0,0.0,2.0,26.0,0.0,0.0,0.0,2024-01-22
ecom_009190,1,0.0,2.0,40.0,107.97,0.0,0.0,2024-01-30
ecom_002360,1,0.0,0.0,11.0,25.91,0.0,0.0,2024-01-18
ecom_001147,1,0.0,0.0,5.0,72.54,0.0,0.0,2024-01-22
ecom_005665,1,0.0,2.0,8.0,16.0,0.0,0.0,2024-01-01
ecom_008074,0,0.0,2.0,40.0,47.3,1.0,1.0,2024-01-02
ecom_004942,0,1.0,0.0,39.0,0.0,1.0,0.0,2024-01-24
ecom_003662,0,0.0,0.0,104.0,9.62,1.0,0.0,2024-01-07
ecom_001562,1,0.0,0.0,74.0,0.0,1.0,1.0,2024-01-29
ecom_004112,1,0.0,0.0,15.0,13.5,0.0,0.0,2024-01-19
ecom_009049,0,0.0,0.0,102.0,27.41,1.0,0.0,2024-01-29
ecom_009275,0,0.0,0.0,15.0,24.15,0.0,0.0,2024-01-12
ecom_008537,1,0.0,2.0,44.0,8.14,0.0,0.0,2024-01-05
ecom_000794,0,0.0,2.0,54.0,42.52,1.0,0.0,2024-01-07
ecom_005853,1,0.0,0.0,103.0,28.4,1.0,0.0,2024-01-02
ecom_007618,0,0.0,0.0,2.0,44.02,0.0,0.0,2024-01-21
ecom_001593,0,0.0,2.0,194.0,20.33,1.0,0.0,2024-01-11
ecom_007417,0,0.0,0.0,59.0,66.5,1.0,0.0,2024-01-03
ecom_005266,1,0.0,0.0,3.0,25.9,0.0,0.0,2024-01-19
ecom_007146,1,0.0,0.0,21.0,43.18,0.0,0.0,2024-01-02
ecom_000088,0,0.0,1.0,145.0,12.42,1.0,0.0,2024-01-16
ecom_008694,1,0.0,2.0,44.0,0.0,1.0,0.0,2024-01-02
ecom_009731,0,0.0,2.0,66.0,30.59,1.0,0.0,2024-01-01
ecom_009445,0,0.0,0.0,77.0,48.23,1.0,0.0,2024-01-11
ecom_006753,1,0.0,1.0,3.0,19.64,0.0,0.0,2024-01-16
ecom_003501,0,0.0,2.0,73.0,14.55,1.0,0.0,2024-01-17
ecom_002233,1,0.0,2.0,9.0,52.46,0.0,0.0,2024-01-15
ecom_002802,1,0.0,1.0,46.0,65.58,1.0,0.0,2024-01-25
ecom_004423,0,0.0,1.0,19.0,121.65,0.0,0.0,2024-01-26
ecom_005662,1,0.0,2.0,163.0,0.0,1.0,0.0,2024-01-03
ecom_007169,1,0.0,0.0,66.0,0.0,1.0,0.0,2024-01-25
ecom_008336,1,0.0,0.0,116.0,0.0,1.0,0.0,2024-01-26
ecom_002147,1,0.0,2.0,15.0,34.73,0.0,0.0,2024-01-24
ecom_007968,0,0.0,2.0,64.0,0.0,1.0,0.0,2024-01-15
ecom_006550,0,0.0,0.0,56.0,87.56,1.0,0.0,2024-01-19
ecom_007642,0,0.0,2.0,21.0,0.0,0.0,0.0,2024-01-22
ecom_006163,1,0.0,2.0,36.0,17.1,1.0,0.0,2024-01-12
ecom_001494,0,1.0,0.0,94.0,0.0,0.0,0.0,2024-01-18
ecom_007695,0,0.0,0.0,87.0,19.83,1.0,0.0,2024-01-16
ecom_007093,1,0.0,0.0,25.0,23.28,0.0,0.0,2024-01-11
ecom_001408,0,0.0,1.0,150.0,27.56,1.0,0.0,2024-01-29
ecom_006690,1,0.0,0.0,13.0,23.08,0.0,0.0,2024-01-23
ecom_003400,0,0.0,2.0,95.0,20.22,1.0,0.0,2024-01-17
ecom_000108,1,0.0,2.0,66.0,0.0,1.0,0.0,2024-01-07
ecom_005635,1,0.0,2.0,56.0,35.82,1.0,0.0,2024-01-15
ecom_008481,1,0.0,2.0,47.0,6.03,1.0,0.0,2024-01-26
ecom_006603,1,1.0,0.0,28.0,0.0,0.0,0.0,2024-01-01
ecom_001090,0,0.0,2.0,51.0,42.04,1.0,0.0,2024-01-22
ecom_005559,1,0.0,2.0,1.0,98.33,0.0,0.0,2024-01-03
ecom_009411,1,0.0,2.0,139.0,7.02,1.0,0.0,2024-01-09
ecom_008142,0,0.0,0.0,52.0,61.06,1.0,0.0,2024-01-08
ecom_008663,1,0.0,1.0,2.0,18.44,0.0,1.0,2024-01-26
ecom_006595,0,0.0,2.0,99.0,28.71,1.0,0.0,2024-01-10
ecom_000623,0,0.0,1.0,200.0,36.35,1.0,0.0,2024-01-13
ecom_006870,1,0.0,0.0,15.0,0.0,0.0,0.0,2024-01-21
ecom_004813,0,0.0,0.0,77.0,111.09,1.0,0.0,2024-01-10
ecom_006552,1,0.0,2.0,62.0,10.12,1.0,0.0,2024-01-10
ecom_007529,1,0.0,1.0,93.0,18.32,1.0,0.0,2024-01-15
ecom_005795,1,0.0,2.0,159.0,18.56,1.0,0.0,2024-01-29
ecom_007436,1,1.0,0.0,88.0,48.41,1.0,1.0,2024-01-26
ecom_004217,1,1.0,2.0,147.0,34.16,1.0,0.0,2024-01-16
ecom_005940,1,0.0,2.0,41.0,59.26,1.0,0.0,2024-01-18
ecom_008500,1,1.0,0.0,29.0,0.0,0.0,0.0,2024-01-20
ecom_006428,0,0.0,0.0,7.0,0.0,0.0,0.0,2024-01-15
ecom_006826,1,1.0,1.0,5.0,79.21,0.0,0.0,2024-01-03
ecom_004130,1,0.0,2.0,2.0,73.21,0.0,0.0,2024-01-30
ecom_007801,0,0.0,2.0,40.0,79.98,1.0,0.0,2024-01-26
ecom_007753,1,0.0,2.0,102.0,53.45,1.0,0.0,2024-01-23
ecom_004721,1,0.0,0.0,112.0,55.07,1.0,0.0,2024-01-22
ecom_001650,1,0.0,0.0,69.0,74.6,1.0,0.0,2024-01-30
ecom_004140,0,0.0,1.0,80.0,16.0,1.0,0.0,2024-01-15
ecom_001617,1,0.0,2.0,32.0,22.44,1.0,0.0,2024-01-01
ecom_002029,0,0.0,0.0,79.0,0.0,0.0,0.0,2024-01-26
ecom_008517,1,0.0,2.0,28.0,109.91,0.0,0.0,2024-01-23
ecom_004575,1,1.0,1.0,115.0,16.19,1.0,0.0,2024-01-05
ecom_003992,1,0.0,0.0,45.0,0.0,1.0,0.0,2024-01-17
ecom_007376,1,0.0,2.0,11.0,58.71,0.0,0.0,2024-01-07
ecom_006149,0,1.0,0.0,112.0,15.84,1.0,0.0,2024-01-13
ecom_004908,0,1.0,2.0,88.0,15.35,1.0,0.0,2024-01-30
ecom_005026,1,0.0,0.0,25.0,53.67,0.0,1.0,2024-01-11
ecom_008260,1,0.0,0.0,46.0,52.36,1.0,1.0,2024-01-30
ecom_004731,0,0.0,0.0,79.0,18.27,1.0,0.0,2024-01-11
ecom_007548,1,0.0,0.0,249.0,26.54,1.0,0.0,2024-01-05
ecom_008134,0,0.0,2.0,81.0,0.0,1.0,0.0,2024-01-12
ecom_001606,1,0.0,1.0,29.0,12.78,0.0,0.0,2024-01-05
ecom_004773,0,0.0,0.0,10.0,0.0,1.0,0.0,2024-01-24
