subject_id,variant,outcome,company_size,days_since_signup,plan_type,feature_usage_count,pre_experiment_outcome,experiment_day
saas_004081,1,53.36,73.0,5.0,1.0,11.0,43.86,28
saas_009149,0,0.47,29.0,3.0,0.0,7.0,22.44,4
saas_001224,0,4.3,5.0,19.0,1.0,7.0,12.33,13
saas_006292,0,0.0,23.0,1.0,0.0,10.0,19.0,15
saas_003122,1,53.75,56.0,3.0,0.0,10.0,32.55,29
saas_000510,1,48.63,1.0,43.0,0.0,10.0,37.33,26
saas_005794,0,12.65,4.0,17.0,1.0,7.0,22.64,11
saas_008181,1,44.88,1.0,2.0,0.0,2.0,34.1,12
saas_009417,1,21.23,14.0,26.0,2.0,7.0,2.12,19
saas_000096,0,0.0,2.0,30.0,1.0,17.0,27.96,12
saas_006681,0,46.57,2.0,12.0,0.0,4.0,51.21,1
saas_001512,0,54.96,76.0,2.0,1.0,9.0,56.14,14
saas_008791,0,61.87,196.0,15.0,0.0,8.0,6.17,1
saas_000119,0,50.58,14.0,9.0,0.0,8.0,21.99,3
saas_007791,0,32.49,1.0,19.0,0.0,9.0,43.39,13
saas_006517,0,31.03,5.0,2.0,0.0,6.0,27.7,11
saas_000033,0,37.63,5.0,21.0,2.0,9.0,14.23,13
saas_007887,0,33.16,2.0,2.0,0.0,7.0,13.55,19
saas_006830,0,22.69,14.0,5.0,1.0,11.0,27.08,16
saas_005421,1,37.01,3.0,6.0,0.0,6.0,49.03,23
saas_001068,1,57.33,175.0,26.0,1.0,9.0,27.74,2
saas_001347,1,12.03,6.0,2.0,1.0,9.0,35.18,3
saas_004747,1,21.71,3.0,17.0,2.0,6.0,5.56,16
saas_006005,0,29.43,45.0,8.0,0.0,5.0,35.29,7
saas_006039,1,36.7,62.0,7.0,1.0,7.0,34.07,25
saas_003817,1,38.93,26.0,1.0,1.0,7.0,47.82,20
saas_008446,0,4.55,162.0,23.0,1.0,12.0,21.06,21
saas_005269,0,0.0,6.0,33.0,0.0,8.0,4.94,8
saas_006897,1,43.01,3.0,9.0,2.0,9.0,27.36,28
saas_005309,0,38.87,58.0,6.0,0.0,8.0,35.7,9
saas_000031,1,52.75,10.0,6.0,1.0,7.0,38.8,11
saas_005674,0,37.53,12.0,29.0,1.0,8.0,11.63,11
saas_004386,1,0.45,13.0,89.0,0.0,10.0,9.45,12
saas_000029,1,68.7,38.0,10.0,0.0,7.0,20.63,20
saas_004202,0,0.0,45.0,8.0,2.0,7.0,26.17,18
saas_007507,1,0.6,6.0,2.0,0.0,6.0,21.8,15
saas_000735,0,24.04,25.0,35.0,1.0,13.0,29.68,19
saas_002067,1,35.22,19.0,11.0,0.0,4.0,34.74,29
saas_000106,1,16.69,4.0,16.0,1.0,2.0,17.59,15
saas_009644,0,10.0,64.0,9.0,0.0,5.0,29.92,17
saas_008894,1,14.3,48.0,15.0,1.0,2.0,33.87,20
saas_008020,0,64.23,190.0,11.0,0.0,13.0,52.39,29
saas_002232,0,64.37,2.0,4.0,0.0,2.0,53.53,22
saas_000993,0,52.74,144.0,6.0,0.0,16.0,37.41,5
saas_009412,1,33.22,8.0,53.0,1.0,3.0,28.42,1
saas_007058,0,44.85,189.0,8.0,1.0,11.0,36.57,22
saas_006789,1,8.13,7.0,3.0,0.0,5.0,23.85,17
saas_000360,0,1.71,15.0,12.0,0.0,6.0,20.4,10
saas_000304,1,13.16,18.0,29.0,0.0,13.0,23.1,29
saas_002627,1,42.41,181.0,4.0,0.0,6.0,29.13,8
saas_008965,0,32.99,90.0,37.0,0.0,6.0,29.84,1
saas_004513,1,41.11,6.0,9.0,1.0,8.0,20.04,6
saas_005910,1,62.3,229.0,16.0,2.0,11.0,42.74,24
saas_008313,1,9.31,5.0,2.0,0.0,11.0,0.0,15
saas_003100,1,58.37,4.0,10.0,1.0,9.0,26.49,5
saas_005703,1,31.05,20.0,1.0,0.0,11.0,35.13,7
saas_003898,1,24.75,7.0,23.0,1.0,12.0,67.8,16
saas_005440,0,0.0,19.0,9.0,1.0,14.0,27.28,18
saas_007930,0,17.37,8.0,2.0,0.0,8.0,15.87,19
saas_000621,1,28.16,21.0,25.0,0.0,10.0,21.24,30
saas_007235,0,48.16,116.0,4.0,2.0,13.0,28.05,24
saas_002498,1,21.53,8.0,2.0,0.0,7.0,29.59,16
saas_000713,0,29.53,19.0,4.0,0.0,6.0,51.45,8
saas_008403,0,66.18,51.0,1.0,0.0,6.0,65.77,22
saas_002855,1,33.34,213.0,2.0,1.0,11.0,32.13,3
saas_004269,0,63.03,15.0,2.0,0.0,6.0,46.05,25
saas_002908,0,39.88,3.0,17.0,0.0,8.0,39.98,3
saas_008080,1,65.56,6.0,30.0,0.0,3.0,23.41,26
saas_004516,1,35.2,67.0,2.0,1.0,7.0,30.34,27
saas_001261,1,0.45,23.0,5.0,0.0,7.0,2.01,3
saas_003160,0,0.0,18.0,34.0,0.0,10.0,0.0,29
saas_000970,1,60.31,13.0,21.0,1.0,12.0,49.68,24
saas_003912,1,53.63,9.0,8.0,0.0,12.0,55.67,23
saas_005198,0,14.19,8.0,13.0,1.0,10.0,21.93,13
saas_008846,1,0.45,15.0,10.0,0.0,10.0,4.5,10
saas_000259,1,44.87,2.0,38.0,0.0,12.0,41.48,30
saas_003790,0,50.67,9.0,12.0,1.0,11.0,36.11,3
saas_009202,0,63.57,12.0,12.0,1.0,6.0,32.48,28
saas_000487,1,28.83,38.0,5.0,0.0,5.0,24.39,23
saas_007907,0,0.84,2.0,8.0,1.0,8.0,11.3,18
saas_000518,1,41.78,77.0,3.0,1.0,6.0,46.47,25
saas_008342,1,43.36,3.0,8.0,1.0,12.0,46.23,25
saas_000311,0,0.0,38.0,19.0,0.0,6.0,22.53,22
saas_003231,1,60.57,193.0,1.0,0.0,2.0,55.12,12
saas_007932,1,47.49,77.0,11.0,0.0,6.0,32.96,29
saas_007457,1,0.45,8.0,11.0,2.0,8.0,7.61,9
saas_009783,1,0.45,7.0,12.0,1.0,6.0,11.76,4
saas_005183,0,50.64,1797.0,9.0,1.0,7.0,55.86,4
saas_008076,1,79.82,18.0,5.0,1.0,10.0,35.84,15
saas_006501,1,55.33,176.0,30.0,0.0,3.0,29.4,12
saas_006790,0,53.56,61.0,8.0,1.0,9.0,50.87,9
saas_007772,1,0.45,13.0,13.0,1.0,8.0,18.33,8
saas_002737,0,20.72,14.0,26.0,2.0,8.0,21.81,6
saas_007841,1,29.26,1.0,1.0,1.0,6.0,34.63,9
saas_006261,0,21.8,41.0,1.0,1.0,15.0,18.24,8
saas_008205,1,26.0,11.0,1.0,0.0,8.0,15.62,30
saas_001247,1,42.33,1.0,1.0,1.0,4.0,31.25,12
saas_009335,1,43.06,1.0,42.0,0.0,9.0,45.6,1
saas_004194,0,71.45,136.0,3.0,1.0,8.0,41.93,29
saas_008000,0,55.34,33.0,6.0,0.0,10.0,55.35,19
saas_007377,0,0.0,1.0,3.0,2.0,5.0,19.67,4
saas_003434,0,66.86,2.0,10.0,1.0,4.0,58.79,23
saas_005381,1,27.89,7.0,3.0,0.0,9.0,33.45,10
saas_000958,1,28.18,20.0,7.0,1.0,12.0,0.0,5
saas_000416,1,47.51,102.0,34.0,1.0,12.0,34.52,30
saas_005741,1,21.63,109.0,5.0,0.0,8.0,19.01,4
saas_006727,1,11.63,14.0,25.0,0.0,6.0,22.4,1
saas_004381,0,37.32,32.0,6.0,0.0,13.0,24.2,19
saas_005196,0,29.39,22.0,3.0,1.0,7.0,36.61,12
saas_001112,0,15.81,3.0,29.0,2.0,8.0,24.28,24
saas_002688,1,47.48,138.0,17.0,0.0,6.0,40.88,8
saas_006472,1,52.15,25.0,1.0,0.0,9.0,26.49,21
saas_008819,1,0.45,2.0,21.0,2.0,10.0,3.58,12
saas_007807,1,0.45,36.0,3.0,0.0,3.0,36.67,1
saas_003410,1,88.79,1.0,23.0,0.0,13.0,49.29,6
saas_000080,1,58.38,39.0,30.0,1.0,14.0,36.37,4
saas_004613,1,0.45,7.0,14.0,0.0,20.0,13.82,6
saas_001373,1,51.83,1.0,7.0,0.0,11.0,32.08,8
saas_001509,1,40.98,24.0,14.0,2.0,5.0,40.49,29
saas_006442,1,10.23,128.0,8.0,1.0,6.0,24.99,7
saas_003070,1,19.64,72.0,1.0,0.0,15.0,29.42,10
saas_003015,1,43.18,8.0,2.0,1.0,8.0,40.52,23
saas_004822,0,23.59,182.0,5.0,0.0,5.0,18.62,30
saas_007821,0,44.9,89.0,4.0,0.0,9.0,50.04,2
saas_000092,0,45.47,10.0,14.0,2.0,7.0,10.15,4
saas_009420,1,27.06,5.0,1.0,0.0,5.0,53.86,22
saas_006599,0,28.59,134.0,13.0,0.0,11.0,34.71,3
saas_004442,0,23.68,18.0,15.0,0.0,7.0,24.91,18
saas_007601,1,23.69,2.0,11.0,1.0,13.0,19.99,29
saas_003834,0,29.94,171.0,30.0,0.0,15.0,21.15,10
saas_009701,1,2.65,165.0,24.0,0.0,4.0,26.55,13
saas_004321,1,0.45,23.0,2.0,0.0,7.0,2.94,18
saas_003393,0,0.0,4.0,28.0,1.0,12.0,25.02,9
saas_004751,0,9.43,29.0,23.0,0.0,11.0,17.04,23
saas_007228,0,19.89,4.0,8.0,2.0,7.0,10.9,19
saas_009190,0,0.0,8.0,23.0,0.0,11.0,3.9,23
saas_002360,1,58.64,211.0,17.0,0.0,8.0,49.32,3
saas_001147,1,42.04,11.0,18.0,2.0,6.0,28.49,14
saas_005665,0,84.5,17.0,3.0,2.0,7.0,41.02,15
saas_008074,1,27.14,497.0,25.0,0.0,11.0,33.54,9
saas_004942,0,17.05,13.0,16.0,0.0,6.0,17.84,30
saas_003662,1,19.68,10.0,15.0,2.0,6.0,5.53,25
saas_001562,1,15.96,5.0,7.0,2.0,6.0,19.06,12
saas_004112,0,33.49,7.0,2.0,1.0,5.0,30.58,16
saas_009049,1,38.28,6.0,1.0,0.0,5.0,38.23,23
saas_009275,1,2.65,105.0,15.0,0.0,10.0,14.21,25
saas_008537,0,27.86,421.0,1.0,1.0,9.0,31.56,15
saas_000794,0,31.35,1.0,1.0,1.0,7.0,42.82,12
saas_005853,1,3.05,2.0,5.0,1.0,7.0,17.61,12
saas_007618,1,48.69,13.0,36.0,2.0,14.0,36.46,5
saas_001593,1,23.74,6.0,46.0,2.0,5.0,1.93,20
saas_007417,1,26.26,6.0,18.0,1.0,8.0,39.11,9
saas_005266,0,41.25,2.0,12.0,0.0,10.0,15.44,12
saas_007146,1,24.96,224.0,16.0,1.0,5.0,18.09,9
saas_000088,1,18.09,41.0,3.0,0.0,7.0,8.64,24
saas_008694,1,0.45,67.0,50.0,1.0,12.0,13.2,24
saas_009731,0,17.35,22.0,8.0,1.0,5.0,38.34,19
saas_009445,1,42.33,44.0,9.0,1.0,3.0,49.38,7
saas_006753,1,6.25,49.0,1.0,0.0,6.0,6.92,5
saas_003501,1,30.84,145.0,2.0,0.0,7.0,28.26,25
saas_002233,0,27.4,215.0,4.0,2.0,15.0,34.21,20
saas_002802,0,32.84,74.0,7.0,1.0,11.0,22.56,24
saas_004423,0,59.03,7.0,4.0,0.0,2.0,16.43,18
saas_005662,0,23.27,13.0,29.0,1.0,7.0,31.29,3
saas_007169,1,54.74,294.0,2.0,0.0,5.0,62.06,2
saas_008336,0,0.0,115.0,8.0,1.0,6.0,4.72,6
saas_002147,1,0.45,81.0,4.0,1.0,5.0,0.0,28
saas_007968,0,0.0,5.0,1.0,1.0,9.0,36.25,19
saas_006550,0,65.45,20.0,4.0,1.0,7.0,39.67,3
saas_007642,0,36.52,2.0,3.0,0.0,7.0,35.22,23
saas_006163,0,24.96,9.0,56.0,0.0,7.0,16.79,19
saas_001494,0,36.71,11.0,8.0,2.0,6.0,35.02,17
saas_007695,0,9.09,83.0,1.0,0.0,6.0,15.05,15
saas_007093,1,22.03,8.0,37.0,0.0,11.0,24.51,18
saas_001408,1,25.57,19.0,19.0,0.0,9.0,21.59,12
saas_006690,1,0.45,13.0,8.0,0.0,9.0,13.21,29
saas_003400,1,35.13,36.0,8.0,0.0,10.0,32.92,22
saas_000108,1,0.45,70.0,17.0,0.0,9.0,17.93,12
saas_005635,0,42.41,1.0,21.0,1.0,6.0,33.58,27
saas_008481,0,26.87,23.0,22.0,2.0,6.0,16.27,28
saas_006603,0,9.53,28.0,58.0,0.0,8.0,21.52,2
saas_001090,1,0.45,8.0,6.0,1.0,8.0,12.95,19
saas_005559,0,0.0,2.0,5.0,1.0,6.0,16.77,6
saas_009411,1,77.22,37.0,2.0,1.0,10.0,58.49,1
saas_008142,0,53.51,41.0,21.0,0.0,10.0,21.62,28
saas_008663,0,0.0,49.0,3.0,2.0,7.0,13.98,8
saas_006595,0,34.15,9.0,3.0,0.0,7.0,24.78,12
saas_000623,1,42.21,7.0,7.0,0.0,6.0,39.51,15
saas_006870,0,7.23,17.0,8.0,0.0,3.0,23.77,9
saas_004813,1,31.3,18.0,16.0,1.0,9.0,35.62,5
saas_006552,1,45.66,13.0,1.0,0.0,3.0,41.71,4
saas_007529,1,35.48,264.0,22.0,0.0,4.0,28.81,7
saas_005795,0,0.0,36.0,9.0,0.0,6.0,22.05,28
saas_007436,0,22.16,101.0,25.0,0.0,6.0,15.06,24
saas_004217,1,13.37,41.0,18.0,0.0,11.0,6.98,22
saas_005940,0,23.66,1.0,5.0,0.0,8.0,38.96,1
saas_008500,0,0.0,21.0,10.0,0.0,10.0,0.0,22
saas_006428,1,43.24,129.0,1.0,1.0,9.0,25.72,18
saas_006826,1,0.45,1.0,5.0,0.0,10.0,10.67,18
saas_004130,0,81.14,92.0,27.0,1.0,6.0,26.38,26
saas_007801,0,34.27,86.0,1.0,1.0,9.0,13.34,9
saas_007753,0,72.12,19.0,6.0,0.0,11.0,35.04,3
saas_004721,0,47.11,5.0,16.0,1.0,9.0,43.95,3
saas_001650,1,36.55,9.0,17.0,0.0,7.0,39.69,15
saas_004140,0,0.0,16.0,34.0,1.0,3.0,14.79,27
saas_001617,0,24.04,1.0,36.0,0.0,5.0,29.55,23
saas_002029,1,36.32,9.0,16.0,0.0,11.0,37.69,3
saas_008517,1,2.26,20.0,5.0,0.0,8.0,31.29,22
saas_004575,0,51.66,34.0,3.0,0.0,6.0,48.53,9
saas_003992,1,0.45,12.0,37.0,0.0,8.0,3.62,8
saas_007376,1,82.28,4.0,8.0,0.0,12.0,72.27,4
saas_006149,1,22.53,138.0,5.0,2.0,7.0,23.98,22
saas_004908,1,33.75,9.0,15.0,2.0,14.0,30.63,8
saas_005026,0,38.72,16.0,2.0,1.0,16.0,24.61,25
saas_008260,0,0.0,1.0,34.0,0.0,9.0,1.91,25
saas_004731,1,18.96,12.0,17.0,0.0,9.0,33.9,15
saas_007548,1,0.45,62.0,3.0,0.0,7.0,0.72,4
saas_008134,0,23.42,52.0,2.0,0.0,11.0,10.48,3
saas_001606,0,73.92,43.0,21.0,0.0,6.0,57.62,3
saas_004773,0,0.0,53.0,1.0,1.0,10.0,0.0,21
saas_008109,0,57.15,5.0,8.0,1.0,11.0,32.37,17
saas_006951,1,31.69,322.0,12.0,0.0,9.0,11.55,29
saas_006004,1,53.92,1.0,2.0,0.0,8.0,27.65,10
saas_007728,1,18.36,53.0,1.0,0.0,7.0,15.22,13
saas_003541,1,26.86,34.0,6.0,1.0,7.0,25.26,17
saas_000388,1,31.13,30.0,10.0,2.0,4.0,34.82,5
saas_001794,0,43.01,1.0,11.0,1.0,2.0,28.15,3
saas_008731,1,18.99,19.0,4.0,0.0,6.0,18.96,7
saas_004919,0,24.42,86.0,22.0,1.0,6.0,32.9,15
saas_005537,1,12.61,1.0,15.0,0.0,15.0,20.44,27
saas_003872,0,7.55,9.0,6.0,2.0,4.0,6.46,16
saas_008868,0,54.81,9.0,23.0,0.0,14.0,34.14,8
saas_002254,1,0.45,94.0,3.0,2.0,10.0,23.53,15
saas_003412,0,72.06,24.0,11.0,2.0,9.0,48.45,25
saas_005459,0,0.0,77.0,15.0,1.0,9.0,5.72,9
saas_004955,0,0.0,444.0,13.0,0.0,7.0,25.02,29
saas_007396,1,54.68,47.0,13.0,2.0,10.0,29.79,20
saas_005414,0,11.82,154.0,4.0,0.0,12.0,53.22,11
saas_007399,1,31.03,20.0,36.0,0.0,6.0,30.1,21
saas_007414,0,4.59,1.0,13.0,0.0,9.0,25.5,25
saas_009100,1,49.28,178.0,5.0,0.0,13.0,47.72,11
saas_004851,1,0.45,14.0,3.0,2.0,4.0,5.58,21
saas_002025,1,56.2,2.0,1.0,0.0,4.0,33.16,7
saas_002615,0,43.1,7.0,29.0,1.0,9.0,66.23,16
saas_007388,0,32.38,2.0,8.0,0.0,8.0,26.51,7
saas_002926,0,39.57,66.0,3.0,2.0,9.0,34.61,29
saas_001121,1,29.89,20.0,15.0,0.0,11.0,15.23,14
saas_002910,0,15.61,9.0,17.0,0.0,13.0,6.79,19
saas_008146,0,15.73,18.0,3.0,1.0,10.0,32.67,4
saas_007383,0,43.19,10.0,24.0,1.0,12.0,58.79,8
saas_003482,1,49.74,86.0,3.0,0.0,10.0,30.3,12
saas_000795,1,25.86,16.0,28.0,1.0,11.0,16.82,12
saas_001575,0,0.0,3.0,84.0,0.0,12.0,6.93,7
saas_006176,1,0.45,6.0,1.0,0.0,10.0,12.03,6
saas_006266,0,11.47,38.0,1.0,1.0,11.0,29.48,30
saas_002458,1,3.51,1.0,5.0,0.0,10.0,26.59,21
saas_003312,0,0.0,15.0,3.0,0.0,9.0,12.93,20
saas_001253,1,14.11,31.0,9.0,2.0,4.0,22.11,15
saas_006834,0,20.09,36.0,11.0,0.0,8.0,10.69,29
saas_008794,0,19.98,25.0,5.0,1.0,7.0,26.43,13
saas_003837,1,66.83,16.0,32.0,0.0,5.0,44.06,12
saas_004398,1,13.11,4.0,24.0,0.0,10.0,13.34,2
saas_003595,1,27.29,844.0,4.0,0.0,8.0,38.41,13
saas_006621,0,46.41,3.0,15.0,0.0,5.0,25.73,24
saas_008382,0,46.54,178.0,16.0,0.0,5.0,0.0,29
saas_002124,0,23.79,19.0,4.0,0.0,8.0,22.1,8
saas_003238,0,16.56,78.0,4.0,0.0,9.0,5.65,28
saas_005403,1,17.53,20.0,7.0,0.0,10.0,24.77,19
saas_005998,1,12.79,27.0,4.0,0.0,10.0,28.73,3
saas_005938,0,37.9,29.0,7.0,0.0,8.0,48.61,4
saas_002045,0,11.23,4.0,29.0,1.0,6.0,40.74,5
saas_001578,0,33.02,1.0,1.0,0.0,5.0,44.22,11
saas_000014,0,34.18,40.0,40.0,1.0,7.0,37.77,26
saas_002673,1,23.95,41.0,3.0,0.0,6.0,31.93,29
saas_007016,0,21.3,184.0,26.0,0.0,12.0,30.53,4
saas_008720,1,35.79,2.0,2.0,0.0,8.0,31.53,14
saas_008849,1,4.85,182.0,60.0,2.0,9.0,0.0,23
saas_004812,0,2.1,19.0,22.0,0.0,11.0,11.74,16
saas_001084,1,24.87,23.0,3.0,1.0,5.0,24.98,18
saas_004983,1,51.65,347.0,1.0,1.0,9.0,60.43,17
saas_007155,0,15.36,71.0,1.0,1.0,10.0,40.97,10
